Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Access Type,Source,EID
"Jubert de Almeida B., Ferreira Neves R., Horta N.","Combining Support Vector Machine with Genetic Algorithms to optimize investments in Forex markets with high leverage",2018,"Applied Soft Computing Journal","64",,,"596","613",,,10.1016/j.asoc.2017.12.047,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040375215&doi=10.1016%2fj.asoc.2017.12.047&partnerID=40&md5=b4e798191c5f3caa3aec9e0f3a6892d7","This work proposes a new approach, based on Genetic Algorithms and Support Vector Machine to trade in the forex market. In this work, a new algorithm capable of generating technical rules to make investments with a given amount of leverage depending on the certainty of the prediction is presented. To forecast those predictions, a combination of a Support Vector Machine (SVM) algorithm – to identify and classify the market in three different stages – and a Dynamic Genetic Algorithm – to optimize trading rules in each type of market, is used. The optimization of the trading rules is based on several technical indicators. Forex data for the EUR/USD currency pair, in a timeframe between the years of 2003 and 2016, is used as training and test data. The proposed architecture for the machine learning system, as well as the implementation and study of the proposed system is described in detail. The use of an hybrid system, combining a SVM and a GA with dynamic approaches such as hyper-mutation and adaptability approaches by training three different GA's for each type of market, provide a new approach for FOREX trading, where it is possible to classify trends using price sequences and therefore using the same classification for optimizing investment strategies with the most appropriate GA. Finally, the work shows promising results during the test period between the 2nd of January of 2015 until the 2nd of March of 2016, where the Return on Investment obtained is 83%. © 2018 Elsevier B.V.",Article,,Scopus,2-s2.0-85040375215
"Ragalo A., Pillay N.","An investigation of dynamic fitness measures for genetic programming",2018,"Expert Systems with Applications","92",,,"52","72",,,10.1016/j.eswa.2017.08.022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029801750&doi=10.1016%2fj.eswa.2017.08.022&partnerID=40&md5=37f4d5c06e9a2586f2b705c702138196","This research investigates the hypothesis that the use of different fitness measures at the different generations of genetic programming (GP) is more effective than the convention of applying the same fitness measure individually throughout GP. A genetic algorithm (GA) is used to induce the sequence in which fitness measures should be applied over the GP generations. Subsequently, the performance of a GP system applying the evolved fitness measure sequence is compared with the conventional GP approach. The former approach is shown to significantly outperform standard GP on varied benchmark problems. Furthermore, the evolved fitness measure sequences are shown to generalize within a problem class: therefore, the sequences can be evolved off-line for different problem classes. Critically, sequences trained on the problem classes are also shown to generalize to complex, real-world problems. Overall, the findings of the study are in favor of the hypothesis. This study has revealed the effectiveness of dynamic fitness measures when applied to benchmark and real-world problems. © 2017 Elsevier Ltd",Article,,Scopus,2-s2.0-85029801750
"Hong J.H., Ryu K.R.","Simulation-based multimodal optimization of decoy system design using an archived noise-tolerant genetic algorithm",2017,"Engineering Applications of Artificial Intelligence","65",,,"230","239",,,10.1016/j.engappai.2017.07.026,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028340688&doi=10.1016%2fj.engappai.2017.07.026&partnerID=40&md5=75afb2f194f990961d8e4d802ac3443d","The difficulty of warship decoy system design problem is twofold. First, we need to find not just one but as many optimal solutions as possible. Second, it demands a heavy computation to evaluate a candidate solution through a long series of underwater warfare simulations. The previous approach tried to reduce the amount of search by heuristically selecting a set of plausible starting points for the search by a simulated annealing algorithm. However, it shows only limited success and cannot easily scale up to larger problems. This paper proposes an efficient and easy-to-scale-up multimodal optimization algorithm named A-NTGA that is based on a genetic algorithm. A-NTGA quickly evaluates candidate solutions by conducting only a small number of simulations, but instead copes with these inaccurate or noisy fitness values by using a noisy optimization technique. To further enhance the efficiency of search by promoting the population diversity, A-NTGA is provided with an archive to which some good-looking solutions are migrated in order to prevent the population from being too crowded with similar solutions. Usually at the end of the search, many optimal solutions are retrieved from the archive as well as the population. The experimental results show that our method can find multiple optimal solutions more efficiently compared to other methods and can be easily scaled up to larger problems. © 2017 Elsevier Ltd",Article,,Scopus,2-s2.0-85028340688
"Wang M., Li B., Zhang G., Yao X.","Population Evolvability: Dynamic Fitness Landscape Analysis for Population-based Metaheuristic Algorithms",2017,"IEEE Transactions on Evolutionary Computation",,,,"","",,,10.1109/TEVC.2017.2744324,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028536580&doi=10.1109%2fTEVC.2017.2744324&partnerID=40&md5=a848a0b514d840ee18e3d8a88ea80f82","Fitness Landscape Analysis (FLA) is an important approach for studying how hard problems are for metaheuristic algorithms to solve. Static FLA focuses on extracting the properties of a problem and does not consider any information about the optimization algorithms; thus, it is not adequate for indicating whether a particular algorithm is suitable for solving a problem. By contrast, dynamic FLA considers the behaviour of algorithms in combination with the properties of an optimization problem to determine the effectiveness of a given algorithm for solving that problem. However, previous dynamic FLA approaches are all individually based and lack statistical significance. In this paper, the concept of population evolvability is presented, as an extension of dynamic FLA, to quantify the effectiveness of population-based metaheuristic algorithms for solving a given problem. Specifically, two measures of population evolvability are defined that describe the probability that a population will obtain improved solutions to a problem and its ability to do so. Then, a combined measure is derived from these two measures to represent the overall population evolvability. Subsequently, the significance and validity of the proposed measures are investigated through analytical and experimental studies. Finally, the utility of the proposed measures is illustrated in an application of algorithm selection for black-box optimization problems. High accuracy in selecting the best algorithm is observed in a statistical analysis, with a low computational cost in terms of fitness evaluations. IEEE",Article in Press,,Scopus,2-s2.0-85028536580
"Beyer H.-G., Sendhoff B.","Toward a Steady-State Analysis of an Evolution Strategy on a Robust Optimization Problem With Noise-Induced Multimodality",2017,"IEEE Transactions on Evolutionary Computation","21","4", 7850990,"629","643",,1,10.1109/TEVC.2017.2668068,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029279772&doi=10.1109%2fTEVC.2017.2668068&partnerID=40&md5=e20eae538f61c6c8486256d75d24613e","A steady state analysis of the optimization quality of a classical self-adaptive evolution strategy (ES) on a class of robust optimization problems is presented. A novel technique for calculating progress rates for nonquadratic noisy fitness landscapes is presented. This technique yields asymptotically exact results in the infinite population size limit. This technique is applied to a class of functions with noise-induced multimodality. The resulting progress rate formulas are compared with high-precision experiments. The influence of fitness resampling is considered and the steady state behavior of the ES is derived and compared with simulations. The questions whether one should sample and average fitness values and how to choose the truncation ratio are discussed giving rise to further research perspectives. © 2017 IEEE.",Article,,Scopus,2-s2.0-85029279772
"Rakshit P., Konar A., Nagar A.K.","Learning automata induced artificial bee colony for noisy optimization",2017,"2017 IEEE Congress on Evolutionary Computation, CEC 2017 - Proceedings",,, 7969415,"984","991",,,10.1109/CEC.2017.7969415,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028507009&doi=10.1109%2fCEC.2017.7969415&partnerID=40&md5=681da0da21122abd6765acc976639c6c","We propose two extensions of the traditional artificial bee colony algorithm to proficiently optimize noisy fitness. The first strategy is referred to as stochastic learning automata induced adaptive sampling. It is employed with an aim to judiciously select the sample size for the periodic fitness evaluation of a trial solution, based on the fitness variance in its local neighborhood. The local neighborhood fitness variance is here used to capture the noise distribution in the local surrounding of a candidate solution of the noisy optimization problem. The second strategy is concerned with determining the effective fitness estimate of a trial solution using the distribution of its noisy fitness samples, instead of direct averaging of the samples. Computer simulations undertaken on the noisy versions of a set of 28 benchmark functions reveal that the proposed algorithm outperforms its contenders with respect to function error value in a statistically significant manner. © 2017 IEEE.",Conference Paper,,Scopus,2-s2.0-85028507009
"Gilpin W., Feldman M.W.","A phase transition induces chaos in a predator-prey ecosystem with a dynamic fitness landscape",2017,"PLoS Computational Biology","13","7", e1005644,"","",,,10.1371/journal.pcbi.1005644,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026660892&doi=10.1371%2fjournal.pcbi.1005644&partnerID=40&md5=d3bbb742c42401993e7450ca48602d69","In many ecosystems, natural selection can occur quickly enough to influence the population dynamics and thus future selection. This suggests the importance of extending classical population dynamics models to include such eco-evolutionary processes. Here, we describe a predator-prey model in which the prey population growth depends on a prey density-dependent fitness landscape. We show that this two-species ecosystem is capable of exhibiting chaos even in the absence of external environmental variation or noise, and that the onset of chaotic dynamics is the result of the fitness landscape reversibly alternating between epochs of stabilizing and disruptive selection. We draw an analogy between the fitness function and the free energy in statistical mechanics, allowing us to use the physical theory of first-order phase transitions to understand the onset of rapid cycling in the chaotic predator-prey dynamics. We use quantitative techniques to study the relevance of our model to observational studies of complex ecosystems, finding that the evolution-driven chaotic dynamics confer community stability at the “edge of chaos” while creating a wide distribution of opportunities for speciation during epochs of disruptive selection—a potential observable signature of chaotic eco-evolutionary dynamics in experimental studies. © 2017 Gilpin, Feldman.",Article,Open Access,Scopus,2-s2.0-85026660892
"Lissovoi A., Witt C.","A Runtime Analysis of Parallel Evolutionary Algorithms in Dynamic Optimization",2017,"Algorithmica","78","2",,"641","659",,,10.1007/s00453-016-0262-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001735578&doi=10.1007%2fs00453-016-0262-4&partnerID=40&md5=6dbf2bd6625a484605ce2dd127fe6413","A simple island model with λ islands and migration occurring after every τ iterations is studied on the dynamic fitness function Maze. This model is equivalent to a (1 + λ) EA if τ= 1 , i. e., migration occurs during every iteration. It is proved that even for an increased offspring population size up to λ= O(n1 - ϵ) , the (1 + λ) EA is still not able to track the optimum of Maze. If the migration interval is chosen carefully, the algorithm is able to track the optimum even for logarithmic λ. The relationship of τ, λ, and the ability of the island model to track the optimum is then investigated more closely. Finally, experiments are performed to supplement the asymptotic results, and investigate the impact of the migration topology. © 2016, The Author(s).",Article,,Scopus,2-s2.0-85001735578
"Richter H.","Scale-invariance of ruggedness measures in fractal fitness landscapes",2017,"International Journal of Parallel, Emergent and Distributed Systems",,,,"1","14",,,10.1080/17445760.2017.1315721,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017445862&doi=10.1080%2f17445760.2017.1315721&partnerID=40&md5=d90edb6fe74265bfd1b476ca5df7d5fa","The paper deals with using chaos to direct trajectories to targets and analyses ruggedness and fractality of the resulting fitness landscapes. The targeting problem is formulated as a dynamic fitness landscape and four different chaotic maps generating such a landscape are studied. By using a computational approach, we analyse properties of the landscapes and quantify their fractal and rugged characteristics. In particular, it is shown that ruggedness measures such as correlation length and information content are scale-invariant and self-similar. © 2017 Informa UK Limited, trading as Taylor & Francis Group",Article in Press,,Scopus,2-s2.0-85017445862
"Rakshit P., Konar A., Das S.","Noisy evolutionary optimization algorithms – A comprehensive survey",2017,"Swarm and Evolutionary Computation","33",,,"18","45",,3,10.1016/j.swevo.2016.09.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011277255&doi=10.1016%2fj.swevo.2016.09.002&partnerID=40&md5=12849dc79fac858f39107357141ab6c7","Noisy optimization is currently receiving increasing popularity for its widespread applications in engineering optimization problems, where the objective functions are often found to be contaminated with noisy sensory measurements. In absence of knowledge of the noise-statistics, discriminating better trial solutions from the rest becomes difficult in the “selection” step of an evolutionary optimization algorithm with noisy objective/s. This paper provides a thorough survey of the present state-of-the-art research on noisy evolutionary algorithms for both single and multi-objective optimization problems. This is undertaken by incorporating one or more of the five strategies in traditional evolutionary algorithms. The strategies include (i) fitness sampling of individual trial solution, (ii) fitness estimation of noisy samples, (iii) dynamic population sizing over the generations, (iv) adaptation of the evolutionary search strategy, and (v) modification in the selection strategy. © 2017",Review,,Scopus,2-s2.0-85011277255
