Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Access Type,Source,EID
"Jubert de Almeida B., Ferreira Neves R., Horta N.","Combining Support Vector Machine with Genetic Algorithms to optimize investments in Forex markets with high leverage",2018,"Applied Soft Computing Journal","64",,,"596","613",,,10.1016/j.asoc.2017.12.047,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040375215&doi=10.1016%2fj.asoc.2017.12.047&partnerID=40&md5=b4e798191c5f3caa3aec9e0f3a6892d7","Forex; Genetic Algorithms; Leverage; Support Vector Machine","Classification (of information); Commerce; Economics; Electronic trading; Forecasting; Genetic algorithms; Hybrid systems; Learning systems; Optimization; Support vector machines; Vectors; Dynamic approaches; Dynamic genetic algorithms; Forex; Investment strategy; Leverage; Proposed architectures; Support vector machine algorithm; Technical indicator; Investments",Article,,Scopus,2-s2.0-85040375215
"Ragalo A., Pillay N.","An investigation of dynamic fitness measures for genetic programming",2018,"Expert Systems with Applications","92",,,"52","72",,,10.1016/j.eswa.2017.08.022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029801750&doi=10.1016%2fj.eswa.2017.08.022&partnerID=40&md5=37f4d5c06e9a2586f2b705c702138196","Fitness; Genetic algorithm; Genetic programming","Genetic algorithms; Genetic programming; Bench-mark problems; Fitness; Fitness measures; Real-world problem; Health",Article,,Scopus,2-s2.0-85029801750
"Hong J.H., Ryu K.R.","Simulation-based multimodal optimization of decoy system design using an archived noise-tolerant genetic algorithm",2017,"Engineering Applications of Artificial Intelligence","65",,,"230","239",,,10.1016/j.engappai.2017.07.026,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028340688&doi=10.1016%2fj.engappai.2017.07.026&partnerID=40&md5=75afb2f194f990961d8e4d802ac3443d","Genetic algorithm; Multimodal optimization; Noisy optimization; Simulation-based optimization","Genetic algorithms; Optimal systems; Simulated annealing; Systems analysis; Warships; Multi-modal optimization; Multi-modal optimization algorithms; Multiple optimal solutions; Noisy optimization; Population diversity; Simulated annealing algorithms; Simulation-based optimizations; Underwater warfares; Optimization",Article,,Scopus,2-s2.0-85028340688
"Wang M., Li B., Zhang G., Yao X.","Population Evolvability: Dynamic Fitness Landscape Analysis for Population-based Metaheuristic Algorithms",2017,"IEEE Transactions on Evolutionary Computation",,,,"","",,,10.1109/TEVC.2017.2744324,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028536580&doi=10.1109%2fTEVC.2017.2744324&partnerID=40&md5=a848a0b514d840ee18e3d8a88ea80f82","Algorithm design and analysis; Algorithm Selection Task.; Correlation; Dynamic Fitness Landscape Analysis; Feature extraction; Heuristic algorithms; Optimization; Population Evolvability; Population-based Metaheuristic Algorithms; Sociology","Correlation methods; Feature extraction; Heuristic algorithms; Problem solving; Algorithm design and analysis; Algorithm selection; Evolvability; Fitness landscape analysis; Meta heuristic algorithm; Sociology; Optimization",Article in Press,,Scopus,2-s2.0-85028536580
"Beyer H.-G., Sendhoff B.","Toward a Steady-State Analysis of an Evolution Strategy on a Robust Optimization Problem With Noise-Induced Multimodality",2017,"IEEE Transactions on Evolutionary Computation","21","4", 7850990,"629","643",,1,10.1109/TEVC.2017.2668068,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029279772&doi=10.1109%2fTEVC.2017.2668068&partnerID=40&md5=e20eae538f61c6c8486256d75d24613e","Evolution strategies (ESs); functions with noise-induced multimodality (FNIM); progress rate analysis; robust optimization","Evolutionary algorithms; Health; Population statistics; Quality control; Evolution strategies; Infinite population sizes; Multi-modality; Optimization quality; Rate analysis; Robust optimization; Steady-state analysis; Steady-state behaviors; Optimization",Article,,Scopus,2-s2.0-85029279772
"Rakshit P., Konar A., Nagar A.K.","Learning automata induced artificial bee colony for noisy optimization",2017,"2017 IEEE Congress on Evolutionary Computation, CEC 2017 - Proceedings",,, 7969415,"984","991",,,10.1109/CEC.2017.7969415,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028507009&doi=10.1109%2fCEC.2017.7969415&partnerID=40&md5=681da0da21122abd6765acc976639c6c","Artificial bee colony; Learning automata; Noise-handling; Probability distribution function; Weighted averaging","Automata theory; Distribution functions; Health; Optimization; Probability distributions; Stochastic systems; Artificial bee colonies; Artificial bee colony algorithms; Benchmark functions; Fitness evaluations; Learning Automata; Noise handling; Stochastic learning automata; Weighted averaging; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-85028507009
"Gilpin W., Feldman M.W.","A phase transition induces chaos in a predator-prey ecosystem with a dynamic fitness landscape",2017,"PLoS Computational Biology","13","7", e1005644,"","",,,10.1371/journal.pcbi.1005644,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026660892&doi=10.1371%2fjournal.pcbi.1005644&partnerID=40&md5=d3bbb742c42401993e7450ca48602d69",,"chaotic dynamics; diversifying selection; ecosystem; landscape; mechanics; model; noise; observational study; phase transition; population growth; predator; quantitative study; species differentiation; animal; biological model; computer simulation; food chain; genetic selection; genetics; molecular evolution; nonlinear system; physiology; population genetics; predation; reproductive fitness; Animals; Computer Simulation; Ecosystem; Evolution, Molecular; Food Chain; Genetic Fitness; Genetics, Population; Models, Genetic; Nonlinear Dynamics; Predatory Behavior; Selection, Genetic",Article,Open Access,Scopus,2-s2.0-85026660892
"Lissovoi A., Witt C.","A Runtime Analysis of Parallel Evolutionary Algorithms in Dynamic Optimization",2017,"Algorithmica","78","2",,"641","659",,,10.1007/s00453-016-0262-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001735578&doi=10.1007%2fs00453-016-0262-4&partnerID=40&md5=6dbf2bd6625a484605ce2dd127fe6413","Dynamic problems; Evolutionary algorithms; Island models; Populations; Runtime analysis","Iterative methods; Optimization; Population statistics; Asymptotic results; Dynamic fitness function; Dynamic optimization; Dynamic problem; Island model; Parallel evolutionary algorithms; Populations; Run-time analysis; Evolutionary algorithms",Article,Open Access,Scopus,2-s2.0-85001735578
"Richter H.","Scale-invariance of ruggedness measures in fractal fitness landscapes",2017,"International Journal of Parallel, Emergent and Distributed Systems",,,,"1","14",,,10.1080/17445760.2017.1315721,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017445862&doi=10.1080%2f17445760.2017.1315721&partnerID=40&md5=d90edb6fe74265bfd1b476ca5df7d5fa","Chaos; fitness landscape; fractality; ruggedness; targeting control","Chaos theory; Chaotic systems; Computational approach; Correlation lengths; Fitness landscape; Fractality; Information contents; ruggedness; Scale invariance; Scale invariant; Fractals",Article in Press,,Scopus,2-s2.0-85017445862
"Rakshit P., Konar A., Das S.","Noisy evolutionary optimization algorithms – A comprehensive survey",2017,"Swarm and Evolutionary Computation","33",,,"18","45",,3,10.1016/j.swevo.2016.09.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011277255&doi=10.1016%2fj.swevo.2016.09.002&partnerID=40&md5=12849dc79fac858f39107357141ab6c7","Evolutionary optimization; Fitness estimation; Noise; Population sizing; Sampling; Selection; Uncertainty","Evolutionary algorithms; Health; Multiobjective optimization; Sampling; Surveys; Evolutionary optimizations; Noise; Population sizing; Selection; Uncertainty; Optimization",Review,,Scopus,2-s2.0-85011277255
